Sentence	Tag
企鹅啥	chat
有什么用呢	chat
谁骂你	chat
什么评论呀	chat
什么理由	chat
你知道我的名字吗	chat
但还是很差	chat
你明白什么	chat
蛋糕好吃吗	chat
你们好吗	chat
你知道我几岁	chat
你学什么的？	chat
你是讲故事呢吗你是报幕呢吧	chat
你是什么意思呀	chat
现在在哪	chat
谁写的你	chat
知道么	chat
哎，你还是没有上下文啊	chat
汪意发是谁	chat
你现在在哪	chat
你的性格怎么样	chat
你认识我吗	chat
你认识siri吗	chat
哪里找小姐	chat
我去烟台有高铁吗	chat
诗中共出现了几种颜色	chat
你是医生吗	chat
谁傻	chat
你谈过吗	chat
有什么好听的歌	chat
你有什么梦想啊	chat
太阳像个什么	chat
微信是干啥的	chat
你认识微软小冰么	chat
跳的人我想要了吗	chat
你有几个小妹妹	chat
买几瓶	chat
你有压力吗	chat
你只会说这些吗	chat
说说吗	chat
你能分析上下文吗	chat
什么零食	chat
什么是色	chat
哪个倒霉孩子给你起这个名儿	chat
你会下象棋吗	chat
你是好人吗	chat
你除了喜欢我害羞的样子还喜欢我的什么呢	chat
今天天气怎么	chat
怎么不懂讲晚安呢	chat
怎么操作	chat
青蛙在做什么	chat
再问一遍谁是最美的人	chat
你不下去么	chat
你就是你为什么会打字儿啊	chat
啥时候长大啊	chat
如果遇见狼呢小马还会让狼上车吗	chat
天气怎么样	chat
你好像没理解我我真的在倒时差有什么可以让我睡觉的方法么	chat
你可以二十四小时陪我聊天吗	chat
嗯我帮你啥	chat
小雨像什么	chat
你是男是女还是人妖	chat
刚才你说你叫啥来着	chat
你不是人吧我怎么觉得你是人呢	chat
宝宝你这是在卖萌吗	chat
还能聊点啥呢	chat
哪里可爱了	chat
色情暴力吗	chat
怎么教你	chat
你哪人啊	chat
麻辣串应该是四川的吧不是哈尔滨的哈尔滨应该吃的是不胖葫芦吧对不对还是北京啊	chat
嗨吃晚饭了吗	chat
你有妹子吗	chat
要怎么打你	chat
哈哈哈干什么也想你到底是不是本	chat
你平时吃什么	chat
是不是有点长	chat
can you speak English?	chat
张思文是不是大美女	chat
你好女儿这几天有空整理了一下日本她想去的地方麻烦看一下去这些地方大约几天是否可行报价多少非常感谢	chat
水里有什么	chat
汪进祥怎么样	chat
这么夸张	chat
爱我什么	chat
我说什么	chat
基哥喜欢我咋办	chat
你喜欢有钱人吗	chat
雨点怎么样	chat
你知道谁是谢志伟吗	chat
你会唱歌吗来一首	chat
你早上一般几点起床	chat
怎么这么多鸡汤	chat
笨笨生气了吗	chat
你爱吃吗	chat
你叫什么啊	chat
你知道水吗	chat
我没去哪儿啊	chat
我是你什么人	chat
你家人有谁	chat
喝酒吗	chat
笨笨我不喜欢你这个名字你可以给自己换一个么	chat
想去哪	chat
小笨近来好吗	chat
我美么	chat
我说不怎么喜欢吃辣的	chat
鸵鸟第一件宝贝是什么	chat
我给你打电话行吗	chat
这么严肃的事为什么好笑呢	chat
768的女朋友是谁	chat
可是我不喜欢你了两个亿你你一点也不忙啥子	chat
天空什么颜色	chat
我女儿想去哪里	chat
我也是总是困怎么办	chat
谁为含愁独不见	chat
你父母是谁	chat
提是谁	chat
你知道什么的什么是什么吗	chat
你的啥啊	chat
男朋友总借钱怎么办	chat
你为什么这么开心	chat
陈楠帅吗	chat
你这么厉害呀	chat
蒋能能是谁	chat
什么太美了	chat
哪个饭店好吃	chat
明天想吃啥呀	chat
你能干嘛？	chat
什么东西	chat
你希望我分手吗	chat
在哪里出门右转	chat
你忍心吗	chat
干嘛好	chat
直接点什么时候找到对的他	chat
笨笨你看过片吗	chat
这么聪明	chat
你会唱歌么	chat
不这样称呼你怎么样呢	chat
你是巧妇还是米	chat
一年和吗	chat
能安慰安慰我吗	chat
完了你和多了你在哪里自己都不知道咯	chat
吃完饭之后干什么	chat
是谁开发了你	chat
爱什么	chat
你都能回答我什么问题	chat
多少钱	chat
你包邮吗	chat
你认识裘实么	chat
你会喝酒吗？	chat
你猜我几岁了	chat
你竟然还知道什么是骂人	chat
你愿意做娟的女朋友吗	chat
你喜欢吃什么呢	chat
你来自哪个星球	chat
我前任男朋友你猜是什么职业	chat
你知道叶哲是谁吗	chat
你什么时候去北京	chat
人们夸奖谁	chat
你有牙吗	chat
漂亮和丑你是哪个	chat
你在哪里上学啊	chat
还是笨笨的	chat
你的好朋友是谁	chat
笨笨谁设计了你	chat
我说的倒数第三句话是什么	chat
秋娃娃写信给谁	chat
我在韩国你在哪里	chat
谁的尾巴短短的	chat
你能干什么啊	chat
我人品好吗	chat
你是不是呆萌啊	chat
唱一下你是谁	chat
那你想当男生还是想当女生	chat
聊些什么呢	chat
你咋知道	chat
叫你笨笨你敢答应么	chat
你知道北京他们吗	chat
你都不知道几点	chat
你是啥啊	chat
你爸爸好吗	chat
这不是你的名字吗😂	chat
北京的天气好吗	chat
你是不是被我弄疯了	chat
你考试挂科怎么办	chat
这么任性	chat
什么季节	chat
这是谁唱的歌？	chat
那你现在可以干啥	chat
你的父母是谁	chat
他教你这么说的呀	chat
我可以帮你吗	chat
吃药了吗	chat
什么时候咱俩见一面吧	chat
那是啥	chat
会英文吗	chat
开车吗坏笑	chat
那你怎么提高自己呀	chat
你会唱歌吗	chat
你玩什么游戏打野	chat
那你为什么不修	chat
你喜欢玩什么游戏啊	chat
多推荐几个吧	chat
你怎么知道我不知道	chat
在哪吃	chat
我在想怎么回去比较好	chat
为啥要刷盘子呢	chat
我在跟你聊天儿吗	chat
小燕子要去哪里	chat
你研发团队有些谁	chat
然后你转了么	chat
你孝顺父母吗	chat
现在不是这个时候大好吗我的大还有没有什么时光网	chat
那你愿意吗	chat
你是猪还是牛呀	chat
你觉得我美吗	chat
你体重超重了吗	chat
是的咯还是笨笨最好	chat
你有男朋友吗	chat
恐龙用尾巴干什么	chat
你爱玩吗那我也不要听你话了吗	chat
对了吗	chat
和配么	chat
这是啥啊	chat
聊不下去了怎么办	chat
丰田车在哪里生产的？	chat
那你教我怎么搭讪好了	chat
你家在家还是如家	chat
唠什么	chat
还是想知道你能做些什么	chat
你可以做什么	chat
学什么	chat
丁效是谁	chat
你喜欢什么类型的女人	chat
吃啥药	chat
你说啥呢	chat
为什么睡不着	chat
散货演绎的作者是谁？	chat
你有伙伴吗	chat
一晚多少钱	chat
哈喽好久不见你开心吗	chat
你需要吃东西吗	chat
哪里哪里	chat
沈阳吃什么除了粘豆包烤冷面焖子沈阳吃什么除了粘豆包烤冷面焖子	chat
找你干什么	chat
你怎么不害羞呀	chat
你有什么特长	chat
你喜欢老师吗	chat
叶哲是你的谁	chat
你喜欢吃便便吗	chat
我帮妈妈洗什么	chat
为什么要请你	chat
我是学渣吗	chat
你出生在哪	chat
那那个什么你真是好可爱的小猫呀	chat
男人好吗	chat
你会查火车票么	chat
你为啥叫笨笨	chat
为什么工数大物学不会	chat
那你喜欢做机器人么	chat
那是怎么了	chat
呲牙你不是说你好聪明吗	chat
杜雨萌学姐是谁	chat
你是男生还是女生	chat
你成长了多少	chat
周末去哪玩	chat
你啥时候出现的	chat
你都会啥啊	chat
何超盈是谁	chat
你能帮我写作业吗	chat
卧槽一个答非所问的AI有什么用	chat
不想上班怎么办	chat
哦买噶谁开发的你这么猥琐	chat
买的什么	chat
唉你叫什么名字	chat
还要脸吗	chat
这个没什么吧	chat
什么时候去	chat
你知道我喜欢哪个女生吗	chat
图灵机器人也不知道是什么耶	chat
你是不是中文比较差	chat
A是什么	chat
还是不用了吧	chat
那你最爱的人是谁	chat
有体育方面的吗	chat
你会做菜吗?	chat
哪里有小猫	chat
那你是不是很苗条呢	chat
谁在雪里跑	chat
那我要怎么做	chat
哎你好我的梦想是什么	chat
能介绍一下吗	chat
我咋不知道这事儿呢啊明星啊之心知肚明啥意思	chat
哪家店比较有名	chat
讲个笑话吗	chat
这么装逼	chat
笨笨你的底层是基于什么算法啊	chat
你知道小宝宝上幼儿园哭吗	chat
那你告诉我你几岁才好交朋友	chat
我如果说一句什么你才不会回复	chat
你是男机器人还是女机器人	chat
你怎么知道呢	chat
喂喂能听我说话吗	chat
为什么夸奖我	chat
什么时候开发出来的	chat
都有啥啊	chat
你能安慰我吗	chat
恋爱着东西很玄虚，谁都说不准	chat
谁制造的你啊	chat
可什么爱我在骂你好吗	chat
你萌吗	chat
啥叫换手机如换衣服啊	chat
很晚了你不睡觉吗	chat
你喜欢什么啊	chat
室友秀恩爱怎么办	chat
你是詹黑吗	chat
你认识宫庆红么	chat
你是不是啥	chat
啥道理	chat
孙晓飞是谁	chat
哪有雪	chat
你出钱吗我没有钱	chat
喜欢吃什么	chat
大海个小河哪个大	chat
嘿干嘛呢	chat
小朋友的妈妈是谁	chat
出门去年是个这么快呀	chat
你爱哈工大吗	chat
是我是说你有几个兄弟姐妹不是你自己说	chat
为什么叫这个名字	chat
这么多回答不了的问题	chat
你的性别是什么	chat
北京下雨了吗你个蠢蛋	chat
小是什么	chat
马家沟是个好学校吗	chat
干嘛弄疯你啊😌	chat
你有绳命吗	chat
你好吗你好吗好吗	chat
干嘛去？	chat
你信什么	chat
怎么找女朋友	chat
你怎么样会开心	chat
谁在买扇子	chat
力气大的蚂蚁在干什么	chat
西方谁可以谈笑风生	chat
你怎么总是失误	chat
查询恒光电影院即将上映的电影	cinemas
附近电影院。	cinemas
我想知道环球影视明天播放什么电影	cinemas
查找卢米埃银泰电影院有播放什么好看的电影吗	cinemas
热门电影有哪些啊？	cinemas
最近在播什么电影？	cinemas
有没有新出的电影了。	cinemas
苏电影我们都是坏孩子。	cinemas
最近的新电影有哪些？	cinemas
搜索合肥左岸国际电影城。	cinemas
最新的热门电影是什么呀？	cinemas
电影院有什么电影？	cinemas
搜索一下热门电影。	cinemas
最近有什么热门的电影？	cinemas
查询众乐电影院最热门的电影	cinemas
最近有什么新片子？	cinemas
查一查上影电影院即将上映的影片	cinemas
哦哦，查一下香港最新上映电影。	cinemas
找下最近最热播的电影。	cinemas
给我查一下最近在播哪些电影	cinemas
我要看热门电影。	cinemas
搜索热门电影。	cinemas
那你查一下最近的热门电影是什么？	cinemas
最近有什么新上映的电影啊？	cinemas
新建联系人张三电话号码一二三四五	contacts
黄狼。	contacts
把张玉娟的手机号码发送给吴伟	contacts
潘靖的电话是多少	contacts
新建联系人买当唠4008 517517	contacts
新建联系人天天	contacts
新建联系人王满秀幺三七 六四零七零二九五	contacts
新建联系人王义勇幺三八六零零幺九四九零	contacts
新建联系人孙晓飞幺三八三八四四三八九五	contacts
查找张伟军	contacts
把平水相逢的手机号码发给8000	contacts
把小新的号码发给徐云蔚	contacts
新建联系人振华奎号码是幺三五零八九四九三幺二	contacts
把徐程的电话发给吴芳	contacts
把哥哥的电话发给殷龙	contacts
把李文鼎的号码发给谢服全	contacts
把侨天慧的号码发给副卡	contacts
查看婷婷的号码	contacts
新建联系人张雨号码是五六七	contacts
周慧的电话。	contacts
把唐玉明的手机号码发给李康	contacts
查看王老师的号码	contacts
新建联系人18622625490	contacts
把李志强的号码发给贾洪鉴	contacts
新建联系人姓名张三号码一二三四五六七八	contacts
查寻标兵的号码	contacts
把许琦彪的号码发给徐鹏	contacts
添加一条通讯录姓名葛勇手机号码189571642496	contacts
把王世怀的号码发给乔丽君	contacts
把张新涛电话发给常胜宾	contacts
请问意大利面怎么做	cookbook
怎么做卤猪脚	cookbook
烤肉串。	cookbook
油焖大虾怎么做	cookbook
人造鸡蛋的配方。	cookbook
简单的，糖醋排骨怎么做？	cookbook
松菜鱼怎么做？	cookbook
米粉怎么炒？	cookbook
牛骨汤	cookbook
冷面的做法。	cookbook
蛋炒饭怎么煮	cookbook
扁豆豆角怎么烧？	cookbook
山寨鱼怎么做？	cookbook
怎么炒南瓜？	cookbook
能山药怎么做？	cookbook
瞌睡鱼怎么做？	cookbook
蒸鱼。	cookbook
煮咖喱饭。	cookbook
盐水鸭怎么做？	cookbook
红烧猪脚怎么做啊？	cookbook
葱爆羊肉的做法。	cookbook
冯沙排骨怎么做？	cookbook
给我讲个笑话吧，鱼香肉丝怎么做？	cookbook
炖鲢鱼怎么做？	cookbook
孙翠鱼怎么做？	cookbook
大骨汤的做法。	cookbook
陈醋排骨的做法。	cookbook
辣酸菜鱼怎么做了。	cookbook
披萨的做法	cookbook
酱茄条做法。	cookbook
炒鸡蛋，需要，哪些材料？	cookbook
你真笨，是四喜丸子怎么做了。	cookbook
鸽子，怎么做最好吃？	cookbook
白灼菜心怎么做？	cookbook
菠萝咕老肉的做法	cookbook
红枣鸡汤怎么煲？	cookbook
干锅排骨虾怎么做？	cookbook
炒四季豆。	cookbook
麻辣烫做法。	cookbook
凉拌海带	cookbook
鱼香肉丝，怎么做得？	cookbook
红烧排骨怎么做？	cookbook
登录不行，做烧鸡公学，我爱你！	cookbook
卤猪蹄怎么做？	cookbook
帮我搜索一下有什么家常菜？	cookbook
怎么炒番茄炒？	cookbook
可乐鸡翅是怎么做的	cookbook
你会不会做蛋糕只能回答哦。	cookbook
南瓜饼的做法。	cookbook
干锅排骨怎么做？	cookbook
水饺的做法。	cookbook
白灼基尾虾的做法。	cookbook
海参怎么做？	cookbook
还路阻少茶汤的做法。	cookbook
银耳莲子羹。	cookbook
帮我查一下可乐鸡翅怎么做？	cookbook
水果沙拉怎么做？	cookbook
赵包子怎么做的，你？	cookbook
故宫鱼怎么做？	cookbook
冰糖葫芦怎么做？你？女子。	cookbook
爆炒猪肝怎么做？	cookbook
如何做芝麻糊。	cookbook
不蒸了牛肉丸	cookbook
做鱼怎么做？	cookbook
黄豆猪蹄汤。	cookbook
火腿肠怎么炒好吃	cookbook
嗯，知道红烧肉怎么做？	cookbook
鸭蛋怎么腌？	cookbook
土豆炒肉丝的做法	cookbook
馒头怎么做吗？	cookbook
要怎么煮饭。	cookbook
怎么样？做红烧肉。	cookbook
啥婆豆腐的制作方法	cookbook
炒豆腐。	cookbook
如何做西红柿炒蛋。	cookbook
白面粉可以怎样做饼？	cookbook
回锅肉做法。	cookbook
土豆丝是怎么炒？	cookbook
松菇鸡汤的做法。	cookbook
菠萝包怎么做？	cookbook
土豆的做法	cookbook
鱼要怎么煮才好吃	cookbook
手抓饼的做法。	cookbook
怎样炒肉。	cookbook
土豆粉怎么做？	cookbook
怎么做炸鸡	cookbook
怎么烧西红柿炒蛋	cookbook
我说白鱼怎么做	cookbook
面包的配方。	cookbook
风魔炒鱼香肉丝。	cookbook
夫妻肺片怎么做？	cookbook
凉皮的制作方法。	cookbook
可乐鸡翅怎么做呀晚点告诉我。	cookbook
怎么做鱼呢？	cookbook
排骨堡汤的做法。	cookbook
狗光鱼怎么做？	cookbook
我要操虾米的做法。	cookbook
怎么做洋葱炒蛋？	cookbook
嘉兴粽子。	cookbook
干豆角怎么烧？	cookbook
烤牛排怎么做？	cookbook
搜索，西米露的做法。	cookbook
红烧猪蹄怎么做	cookbook
怎么做炸鸡腿？	cookbook
葫芦鸡怎么做？	cookbook
四川美食。	cookbook
帮我找一下凉拌海蜇的做法。	cookbook
家常凉菜怎么做？	cookbook
然后等你杀猪菜怎么做？	cookbook
凉面。	cookbook
田螺怎么炒啊？	cookbook
红烧土豆怎么烧？	cookbook
川崎玫瑰的制作方法	cookbook
番红烧肉的做法。	cookbook
罐焖牛肉怎么做？	cookbook
牛肉的做法。	cookbook
石螺怎么煮	cookbook
红烧芋头做法。	cookbook
的，酸菜鱼怎么做？怎么？	cookbook
西红柿炒蛋怎么煮？	cookbook
甲鱼，邓鸡，如何制作。	cookbook
胖鱼头怎么烧？	cookbook
金酱肉丝的做法	cookbook
星光做西红柿炒鸡蛋呢！	cookbook
烤鸡翅怎么做？	cookbook
西兰花怎么做？	cookbook
新奥尔良烤翅的做法	cookbook
鱼香肉丝肉怎么做？	cookbook
如何做煎饼。	cookbook
语音火锅怎么做啊？啊？	cookbook
猪肚鸡怎么做啊？	cookbook
做红烧鱼的步骤。	cookbook
糖醋鲤鱼怎么做？而？	cookbook
西红柿炒鸡蛋做法。	cookbook
说话，给我搜一下做苹果麦片粥是怎么做啊？	cookbook
慕斯的做法。	cookbook
蒜苔的做法	cookbook
酸菜鱼怎么煮啊？	cookbook
给蛋炒饭怎么做？	cookbook
回锅肉。	cookbook
铁板烧怎么做？	cookbook
坐宫保鸡丁需要哪些材料？	cookbook
大闸蟹的做法。	cookbook
葱烧海参怎么做	cookbook
草虾尾怎样做。	cookbook
苦瓜要怎么做比较好吃	cookbook
肉肉怎么腌制？	cookbook
到了有鲈鱼怎么做？	cookbook
你酸辣土豆丝怎么做？	cookbook
红烧排骨怎么做的吗？	cookbook
红烧狮子头怎么做	cookbook
我说铁锅炖羊肉怎么做？	cookbook
欧树的叶子怎么炒？	cookbook
恩，红烧土豆怎么做我想学？	cookbook
酸菜是怎么做的可以用塑料布。	cookbook
怎么做煎饼？	cookbook
鱼的做法	cookbook
蛋糕可以做蛋糕吗？	cookbook
醉虾的做法。	cookbook
做糖醋排骨	cookbook
咖喱牛腩怎么做	cookbook
小杰炖蘑菇怎么做？	cookbook
做南瓜饭	cookbook
土豆饼怎么做啊？	cookbook
排骨怎么弄才好吃？	cookbook
做红烧肉要哪些材料呀！	cookbook
王志排骨怎么做	cookbook
啊，青椒炒蛋。	cookbook
我想知道皮蛋瘦肉粥是怎么做的	cookbook
猪舌头怎么做比较啊子？	cookbook
怎么做京酱肉丝。	cookbook
福寿鱼做法。	cookbook
鱼香肉丝，怎么做？不？	cookbook
茄子鸡蛋怎么做？	cookbook
教我怎么做红烧肉	cookbook
如何炒花生。	cookbook
请告诉我清蒸桂鱼怎么做？	cookbook
新疆大盘鸡的做法。	cookbook
基尾虾怎么做？	cookbook
煲鸡汤呢	cookbook
凉菜是怎么做的？	cookbook
凉拌菜	cookbook
那烤箱做面包怎么做？	cookbook
民间小炒肉的做法。	cookbook
昌鱼的做法	cookbook
怎么做冰激凌？	cookbook
青鱼的做法。	cookbook
鸡怎么做才好吃？	cookbook
凉拌海蜇怎么做好吃？	cookbook
意大利面。	cookbook
如何煮牛肉饭。	cookbook
说萝卜怎么做？	cookbook
红烧排骨怎么做？啊？	cookbook
海星的做法。	cookbook
阳澄湖大闸蟹的做法。	cookbook
肉沫茄子，怎么做？	cookbook
虾仁饭。	cookbook
蚝油生菜的做法。	cookbook
馄炖怎么做？	cookbook
做红酒怎么做啊？	cookbook
酸菜鱼怎么做啊	cookbook
土豆烧肉。	cookbook
黑菜扣肉的做法告诉我一下啊！	cookbook
请帮我找一下酸菜鱼的做法	cookbook
猪肉怎么做？	cookbook
鱼香肉丝，怎么做？买？	cookbook
炖肉	cookbook
过油肉土豆片怎么做？	cookbook
烧排骨汤需要什么调料？	cookbook
草莓芒果西米露。	cookbook
米饭怎么做	cookbook
怎样做糖醋排骨时，去吃饭洗澡了。	cookbook
臭豆腐汤怎么烧？	cookbook
鱼怎么做莱	cookbook
想做蛋糕。	cookbook
瘦肉粥。	cookbook
白切鸡怎么做啊？	cookbook
培根金针菇怎么做？	cookbook
米粉肉怎么做？	cookbook
做面包的配方。	cookbook
教我做馒头。	cookbook
虾炒蛋怎么做？	cookbook
怎么做水煮鱼店？	cookbook
久久鸭怎么做？	cookbook
送黄炒鸡蛋怎么做？	cookbook
猪肉灌汤包怎么做？	cookbook
秋葵怎么做？	cookbook
螃蟹怎么蒸？	cookbook
腊鱼。	cookbook
自演艺，羊肉怎么做？	cookbook
炸馒头片	cookbook
有什么特色美食。	cookbook
红烧猪脚	cookbook
恒宇乐活鱼怎么做的好吃的回复哦，你。	cookbook
酸菜鱼的做法，妈。	cookbook
烤鸭，啊！	cookbook
怎么煮面才好吃呢？	cookbook
牛肉面，哦。	cookbook
酸辣汤的做法。	cookbook
做蛋挞怎么做	cookbook
那做红烧鱼需要哪些材料啊？	cookbook
鱼肉怎么做？	cookbook
帮我查一下红烧肉的做法	cookbook
冰糖雪梨	cookbook
红薯粉的做法，了。	cookbook
红豆沙怎么做？	cookbook
红烧鱼块。	cookbook
煮面怎么做？	cookbook
又热炒鸡蛋怎么做？	cookbook
花格等蛋的做法。	cookbook
豆腐花的做法。	cookbook
蒸鸡蛋糕	cookbook
怎样蒸排骨最好吃的。	cookbook
红烧肉怎么做？嗯？	cookbook
狗肉怎么做？	cookbook
四喜丸子怎么做？	cookbook
甜酒怎么做？	cookbook
你给我讲讲红烧肉的做法。	cookbook
辣，兰州拉面的配方。	cookbook
怎么弄红烧肉哦？	cookbook
a排骨怎么做好吃？	cookbook
紫菜蛋花汤。	cookbook
求米线怎么做？	cookbook
红烧肉的做法，a。	cookbook
牛肉怎么煮才好吃？你？	cookbook
青椒肉丝怎么做怎么炒？	cookbook
怎么做饭好吃？	cookbook
椒盐排骨怎么做？你？	cookbook
鱼香肉丝哦	cookbook
旧金山几点几分	datetime
今天农历是多少	datetime
查询日期	datetime
现在是两点了吗	datetime
还有多少天过年	datetime
现在星期几	datetime
哪天清明节	datetime
现在几号	datetime
元宵节还有几个星期	datetime
哪一天国际牛奶日	datetime
还有多少分钟12点	datetime
植树节是什么时候	datetime
多少月之后就是过年了	datetime
明天上午9点距离现在还有多久	datetime
明天什么日子	datetime
武汉的精确时间是	datetime
看看现在几点几分	datetime
时间现在的	datetime
帮我转发邮件	email
发邮件给莹莹说我好困我想睡觉	email
我想全部回应	email
帮我写个邮件	email
我想要转发这封邮件	email
我要写条新邮件	email
我要查看邮件	email
替我查看新邮件	email
帮我写一封邮件	email
替我答复这条邮件	email
我想全部回复	email
全部应答	email
我要全部回复	email
我想要转发这条邮件	email
发邮件给晶晶	email
我想写一个新邮件	email
转发这条mail	email
我要答复邮件	email
我想答复这个邮件	email
替我打开新邮件	email
帮我写一条新邮件	email
给我写一个新邮件	email
我要回复这条邮件	email
给我打开mail	email
中央一套什么时候有建党伟业	epg
湖南卫视放什么节目？	epg
周二电影。	epg
现在哪个台在播放剧情电视剧	epg
我要看湖南卫视快乐大本营	epg
世界地理的节目单	epg
看当前直播的比赛	epg
现在电视台在放什么节目	epg
查查最近一周CCTV-4美洲有放我爱记歌词么	epg
湖南卫视娱乐节目。	epg
湖南台演什么节目	epg
今天湖南卫视的电子节目单	epg
中央电视台一套现在放什么节目？	epg
能不能看当前的中超联赛	epg
非诚勿扰什么时候演啊	epg
我想看中央六台的电影。	epg
中央四频道火箭兜风	epg
找找非诚勿扰什么时候结束	epg
央视少儿频道的节目的	epg
你，湖南卫视正在播出什么？你。	epg
现在湖南卫视放什么电视？	epg
搜索电视剧爱情悠悠药草香在哪个频道首播？	epg
看看今天有什么好看的节目？	epg
电视台在播什么节目	epg
央视综合频道昨晚的节目单	epg
今晚什么节目呀？	epg
